ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
AccountRelationshipShareRule,"Represents the rule that determines which object records are shared,      how they are shared, the account relationship type that shares the records, and the level      of access granted to the records. This object is available in API version 45.0 and   later.","create(), delete(), describeLayout(). describeSObjects(), query(), retrieve(), update(). upsert()",,,,
AccountShare,Represents a sharing entry on an Account.,"create(),delete(),describeSObjects(), query(),retrieve(), update(),upsert()","As of Summer ’20 and later, only users with access to the Account object can access this     object.",This object allows you to determine which users and groups can view or edit Account records owned by other users.,,
AccountTag,Associates a word or short phrase with an Account.,"create(), delete(), describeSObjects(), query(), retrieve()",,AccountTag ,,
AccountTeamMember,Represents a User who is a member of an Account team.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(),  getUpdated(), query(), retrieve(), update(), upsert()",,Use this object to manage the team members of a particular Account and to specify team member roles for those users on that account. ,,
AccountTerritoryAssignmentRule,An account assignment rule that assigns accounts to territories based   on account fields. Only available if territory management has been enabled for your   organization.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(),upsert()","As of Spring ’20 and later, only users with the View Setup and Configuration permission can     access this object, and only users with the Manage Territories permission can edit this     object.",A territory will not have any accounts (with the exception of manually assigned accounts)     unless at least one account assignment rule is active for the territory.,,
AccountTerritoryAssignmentRuleItem,A row of selection criteria for an AccountTerritoryAssignmentRule object. Only available if territory management has been enabled for your   organization.,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","As of Spring ’20 and later, only users with the View Setup and Configuration permission can access this object, and only users with the Manage Territories permission can edit this object.",,,
AccountTerritorySharingRule,Represents the rules for sharing an Accountwithin a Territory.,"create(), delete(), describeSObjects(), getDeleted(),  getUpdated(), query(), retrieve(), update(), upsert()",,Use this object to manage the sharing rules for a particular object. General sharing and Territory-related sharing use this object.,,
AccountUserTerritory2View,Represents the view of the Users in Assigned Territories related list in Lightning Experience. Available in API version 42.0 and later.,"describeSObjects(), query(), retrieve()","As of Summer ’20 and later, only standard and partner users can access this object.",Use this object to show the users who are assigned to the territories assigned to an account.,,
ActionCadence,Represents the definition of a sales cadence. This object is available in API version 45.0 and later.  ,"delete(),describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(),retrieve(), search(),update(), ",,,,
ActionCadenceRule,"Represents the logic that a branch step uses to make decisions in your sales   cadence. Use ActionCadenceRule to learn about a branch step, including its logic and what the   next step is. This object is available in API version 48.0 and later. ","describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()",,,,
ActionCadenceRuleCondition,Represents the logic for a branch step. This object is available in API version 48.0 and later. ,"describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()",,,,
ActionCadenceStep,"Represents a step in a sales cadence. Use ActionCadenceStep to learn which   steps belong to a sales cadence, and how the steps are connected to each other. This object is available in API version 48.0 and later.  ","describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()",,,,
ActionCadenceStepTracker,Represents a step in an active sales cadence for a specific sales cadence   target. This object is available in API version 48.0 and later. ,"   describeSObjects(),    getDeleted(),    getUpdated(),    query(),    retrieve()",,,,
ActionCadenceTracker,Represents an active sales cadence target. This object is available in API version 45.0 and later. ,"     describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()   ",,,,
ActionLinkGroupTemplate,"Action link templates let you reuse action link definitions and package and distribute action links. An action link is a button on a feed element. Clicking on an action link can take a user to another Web page, initiate a file download, or invoke an API call to an external server or Salesforce. Use action links to integrate Salesforce and third-party services into the feed. Every action link belongs to an action link group and action links within the group are mutually exclusive. This object is available in API version 33.0 and later.","create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert()",Only users with the “Customize Application” permission can modify or delete this object.,Define action link templates in Setup and use ,,
ActionLinkTemplate,"Action link templates let you reuse action link definitions and package and distribute action links. An action link is a button on a feed element. Clicking an action link can take a user to another Web page, initiate a file download, or invoke an API call to an external server or Salesforce. Use action links to integrate Salesforce and third-party services into the feed. This object is available in API version 33.0 and later.","create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert()",Only users with the “Customize Application” permission can modify or delete this object.,Create action link templates in Setup. Use Apex classes in the ,,
ActionPlan,"Represents the instance of an action plan, a set of tasks created from an action plan template.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ActionPlanItem,Represents the instance of an action plan item.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,,
ActionPlanTemplate,Represents the instance of an action plan template.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ActionPlanTemplateItem,Represents the instance of an item on an action plan template version.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,,
ActionPlanTemplateItemValue,Represents the value associated with an action plan template item. ,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,,
ActionPlanTemplateVersion,Represents the version of an action plan template.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,,
ActiveScratchOrg,Represents an active scratch org. This object is available in API version 41.0 and later.,"delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update()",,Salesforce automatically creates an instance of this object after a ScratchOrgInfo record moves to the Active state. The new ActiveScratchOrg gets many of its field values from the ScratchOrgInfo object with which it is associated.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ActivityHistory,This read-only object is displayed in a related list of closedactivities—past events and closed tasks—related to an object. It includesactivities for all contacts related to the object. ActivityHistory fields for phone calls are onlyavailable if your organization uses Salesforce CRM Call Center.,describeSObjects(),,,,
ActivityMetric,Represents activities that were added to Salesforce automatically byEinstein Activity Capture and manually by users.,"create(), describeSObjects(), query(), retrieve(), update(), upsert()","Unless otherwise noted, Einstein Activity Capture and Activity Metrics must be enabled.",,,
AdditionalNumber,Represents an optional additional number for a call center. Thisadditional number is visible in the call center's phone directory.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",Customer Portal users can't access this object.,"Create an additional number for a call center directory. Use this object if the number is not easily categorized as a User, Contact, Lead, Account, or the other object. Examples include phone queues or conference rooms.",,
Address,"Represents a mailing, billing, or home address.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,,
AgentWork,Represents a work assignment that’s been routed to an agent.   ,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()","To access this object, ","AgentWork records can only be deleted if they have the status Closed, Declined, or Unavailable. They can’t be deleted if their status is Assigned or Opened because they’re active in Omni-Channel.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AgentWorkSkill,Represents a skill used to route a work assignment to an agent. AgentWorkSkill is used for reporting and represents the result of a routing decision. ,"delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete()","To access this object, ",,,
AIInsightAction,Represents an Einstein prediction insight action. This object is available in API version 47.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","Prediction insight objects are only available in orgs that have Einstein features, such as     Prediction Builder or Case Classification, enabled.",Custom fields can’t be added to Einstein insight objects.,,
AIInsightFeedback,Represents an Einstein prediction insight feedback. This object is available in API version 47.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve() ","Prediction insight objects are only available in orgs that have Einstein features, such as     Prediction Builder or Case Classification, enabled.","Salesforce creates AIInsightFeedback records based on user responses to predictions after     the prediction has been created. Explicit feedback, such as a thumbs up/down response, will     cause the creation of a feedback record. Implicit feedback, such as accepting a recommended     predicted value, will cause the creation of a feedback record. Once the AIInsightFeedback     record has been created, it is immutable.",,
AIInsightReason,Represents an Einstein prediction insight reason. This object is available in API version 47.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve() ","Prediction insight objects are only available in orgs that have Einstein features, such as     Prediction Builder or Case Classification, enabled.",Custom fields can’t be added to Einstein insight objects.,,
AIInsightValue,Represents an Einstein prediction insight value. This object is available in API version 47.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve() ","Prediction insight objects are only available in orgs that have Einstein features, such as     Prediction Builder or Case Classification, enabled.",Custom fields can’t be added to Einstein insight objects.,,
AIRecordInsight,Represents an Einstein prediction insight. This object is available in API version 47.0 and later.," delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete() ","Prediction insight objects are only available in orgs that have Einstein features, such as Prediction Builder or Case Classification, enabled.",Custom fields can’t be added to Einstein insight objects.,,
AllowedEmailDomain ,Represents an allowed email domain for users in your organization. You can define an allowlist to restrict the emaildomains allowed in a user’s Email field.   This object is available in API version 29.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",You must have the “Manage Internal Users” user permission to use this object.,,,
Announcement,Represents a Chatter group announcement. This object is available   in API version 30.0 and later.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,,
ApexClass,Represents an Apex class.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search()update(), upsert()",,,,
ApexComponent,Represents a definition for a custom component that can be used in a Visualforce page alongside standardcomponents such as ,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",,"Use custom components to encapsulate a common design pattern and then reuse that pattern several times in one or more Visualforce pages. All users who can view Visualforce pages can view custom components, but the “Customize Application” permission is required to create or update custom components.",,
ApexLog,"Represents a debug log containing information about a transaction,   including information about Apex, Visualforce, and workflow and validation rules. This object is available in API version 19.0 and later.","delete(),describeSObjects(), query(),retrieve()",,,,
ApexPage,Represents a single Visualforce page.,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",,"Use Visualforce pages to add custom content that extends the base Salesforce application functionality. All users in Visualforce-enabled organizations can view  Visualforce pages, but the “Customize Application” permission is required to create or update them.",,
ApexPageInfo,Represents metadata about a single Visualforce page. This object is available in API version 48.0 and later. ,"describeSObjects(), query()","As of Summer '20 and later, this object can only be accessed by users who can view a     particular Visualforce page, and users with the View Setup and Configuration permission.","Use ApexPageInfo to query limited metadata about     Visualforce pages. Some of this metadata corresponds to settings for a Visualforce page     available in Visualforce Pages. To access Visualforce Pages, from",,
ApexTestQueueItem,Represents a single Apex class in the Apex job queue. This object is available in API version 23.0 andlater.,"create(), describeSObjects(), query(), retrieve(), update(), upsert()","The enableApexTestReqViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to access Apex test data”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",,,
ApexTestResult,Represents the result of an Apex test method execution.   This object is available in API version 23.0 andlater.,"create(), delete(),  describeSObjects(), query(), retrieve(), update(), upsert()","The enableApexTestReqViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to access Apex test data”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",Each ApexTestResult record has an associated ,,
ApexTestResultLimits,Captures the Apex test limits used for a particular test methodexecution. An instance of this object is associated with each ApexTestResultrecord.   This object is available in API version 37.0 and  later.,"create(), delete(),  describeSObjects(), query(), retrieve(), update(), upsert()","The enableApexTestReqViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to access Apex test data”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",,,
ApexTestRunResult,Contains summary information about all the test methods that were runin a particular Apex job.   This object is available in API version 37.0 and  later.,"create(), delete(),  describeSObjects(), query(), retrieve(), update(), upsert()","The enableApexTestReqViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to access Apex test data”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",,,
ApexTestSuite,Represents a suite of Apex classes to include in a test run. ATestSuiteMembership object associates each class with the suite. This object is available in   API version 36.0 and later.,"create(), delete(),  describeSObjects(), query(), retrieve(), update(), upsert()","The enableApexTestReqViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to access Apex test data”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",,,
ApexTrigger,Represents an Apex trigger.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(),update(), upsert()",,,,
AppAnalyticsQueryRequest,Represents a request for AppExchange App Analytics data.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",See ,"To request usage data, log into the License Management Org (LMO) that your package is registered to and initiate the API request from the LMO. In a 24-hour period, you can download a maximum 20 GB of AppExchange App Analytics data.",,
AppDefinition,Represents the metadata of an app and its navigation items. Metadata is returned only for apps that the current user can access. This object is available in API version 43.0 and later.,"describeSObjects(), query()",,,,
AppExtension,"Represents a connection between the Field Service mobile app and another app, typically for passing record data to the Salesforce mobile app or other apps. This object is available in API version 41.0 and later.","create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert()",Field Service must be enabled.,,,
AppMenuItem,Represents the organization’s default settings for items in the appmenu or App Launcher.,"delete(), describeSObjects(), query(), retrieve(), update()",,"Use this read-only object to view an entry in the Lightning Platform app menu or the App Launcher. You can create a SOQL query to retrieve all items, even items the user does not see from the user interface.",,
AppointmentSchedulingPolicy,Represents a set of rules for scheduling appointments using Lightning      Scheduler. This object is available in API version 45.0 and later.,"create(),    delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(),    upsert()",,,,
Approval,Represents an approval request for a Contract.,"describeSObjects(), query(), retrieve()",Customer Portal users can't access this object.,"This object allows client applications to programmatically handle approval requests for a Contract. Initially, to request a Contract approval, a client application might create a new Approval request record, specifying the ParentId,  OwnerId (user approving or rejecting the request), Status (Pending), and (optionally) RequestComment fields. Note that when a client application creates the first approval request, if the value of the Contract Status field is Draft, then the Approval Status for this record is automatically changed to In Approval Process (see ContractStatus for more information).",,
AppTabMember,Represents the list of tabs for each of the available apps. This object is available in API version 43.0 and later.,"describeSObjects(), query()",,,,
__DataCategorySelection,A data category selection represents a data category that classifies   an article. This object is available in API version 19.0 and later.,"create(), delete(), describeSObjects(), query(),getDeleted(), retrieve()",Knowledge must be enabled in your org.     ,Every article in Salesforce Knowledge can be     categorized. A data category selection represents a category that has been selected to     classify an article. You can use the ,,
Asset,"Represents an item of commercial value, such as a product sold by your company or a competitor, that a customer has purchased and     installed.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,"Use this object to track products sold to customers. With asset tracking, a client application can quickly determine which products were previously sold or are currently installed at a specific account. You can also create hierarchies of up to 10,000 assets.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AssetDowntimePeriod,"Represents a period during which an asset is not able to perform as expected.   Downtime periods include planned activities, such as maintenance, and unplanned events, such   as mechanical breakdown. This object is available in API version 49.0 and later. ","create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  search(),  undelete(),  update(),  upsert()",,,,
AssetOwnerSharingRule,Represents the rules for sharing an Asset with users      other than the owner. This object is available in API version 33.0 and   later.,"create(),    delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(),    upsert()",Customer Portal users can’t access this object.,Use this object to manage the sharing rules for assets. General sharing uses this object.,,
AssetRelationship,"Represents a non-hierarchical relationship between assets due to replacement, upgrade, or other circumstances.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AssetShare,Represents a sharing entry on an Asset. This   object is available in API version 33.0 and later.,"describeSObjects(), query(), retrieve()",Customer Portal users can’t access this object.,This object allows you to determine which users and groups can view and edit Asset records owned by other users.,,
AssetTag,Associates a word or short phrase with an Asset.,"create(), delete(), describeSObjects(), query(), retrieve()",,"AssetTag stores the relationship between its parent TagDefinition and the Asset being tagged. Tag objects act as metadata, allowing users to describe and organize their data.",,
AssetTokenEvent,The documentation has moved to ,,,,,
AssetWarranty,Defines the warranty terms applicable to an asset along with any exclusions and   extensions. This object is available in API version 50.0 and later. ,"create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  search(),  undelete(),  update(),  upsert()",,,,
AssignedResource,Represents a service resource who is assigned to a service appointment in Field Service and Lightning Scheduler. Assigned resources appear in the Assigned Resources related list on service appointments. This object is available in API version 38.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,You can assign multiple service resources to a service appointment. Service resources who are assigned to service appointments cannot be deactivated until they are removed from the appointments.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AssignmentRule,Represents an assignment rule associated with a Case or Lead.,"describeSObjects(), query(),retrieve(), search()",,"Before creating or updating a new Case or Lead, a client application can query (by name) the AssignmentRule to obtain the ID of the assignment rule to use, and then assign that ID to the assignmentRuleId field of the AssignmentRuleHeader. The AssignmentRuleHeader can be set using either SOAP API or REST API.",,
AssociatedLocation,"Represents a link between an account and a location in Field Service. You can associate multiple accounts with one location. For example, a shopping center location may have multiple customer accounts.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AsyncApexJob,"Represents an individual Apex sharing recalculation job, a batch Apex job, a method with the future annotation, or a job that implements ","describeSObjects(), query(), retrieve()","The enableAsyncRequiresViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to enqueue async Apex Jobs”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",Use this object to query Apex batch jobs in your organization.,,
AttachedContentDocument,This read-only object contains all ContentDocument objects associated with an object.,describeSObjects(),,Use this object to list all ContentDocument objects attached to an object via a feed post.,,
AttachedContentNote,This read-only object contains all ContentNote objects associated with an object. This object is available in API version 35.0 and later.,describeSObjects(),,Use this object to list all ContentNote objects attached to an object.,,
Attachment,Represents a file that a User has uploaded and attached to a parentobject.,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,"The API sends and receives the binary file attachment data encoded as a base64Binary data type. Before creating a record, client applications must encode the binary attachment data as base64. Upon receiving a response, client applications must decode the base64 data to binary  (this conversion is usually handled for you by the SOAP client).",,
Audience,Represents an audience that is defined by criteria and can be assigned and used   for targeting in a community. This object is available in API version 44.0 and later.,"describeSObjects(), query(), retrieve(), update()",,,,
AuraDefinition,"Represents an Aura component definition, such as component markup, a client-side controller, or an event. This object is available in API version 32.0 and later.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only your Salesforce org's internal users can access this object.",,,
AuraDefinitionBundle,"Represents a Lightning Aura component definition bundle, such as a component or application bundle. A bundle contains a Lightning Aura component definition and all its related resources. This object is available in API version 32.0 and later.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,"For more information, see the ",,
AuraDefinitionBundleInfo,For internal use only.,,,,,
AuraDefinitionInfo,For internal use only.,,,,,
AuthConfig,"Represents authentication options for an org with a My Domain configured, a community, or a custom domain. This object is available in API version 32.0 and later.","describeSObjects(), query(), retrieve()",You must have “View Setup and Configuration” permission to view the settings.,,,
AuthConfigProviders,Represents an authentication provider that’s configured in an organization. This object is a child of the AuthConfig object. This object is available in API version 32.0 and later.,"describeSObjects(), query(), retrieve()",You must have “View Setup and Configuration” permission to view the settings.,,,
AuthorizationForm,"Represents the specific version and effective dates of a form that is associated with consent, such as a privacy policy or terms and conditions. This object is available in API version 46.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",This object is available if Data Protection and Privacy is enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AuthorizationFormConsent,Represents the date and way in which a user consented to an authorization form. This object is available in API version 46.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",This object is available if Data Protection and Privacy is enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AuthorizationFormDataUse,Represents the data use consented to in an authorization form. This object is available in API version 46.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",This object is available if Data Protection and Privacy is enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AuthorizationFormText,Represents an authorization form’s text and language settings. This object is available in API version 46.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",This object is available if Data Protection and Privacy is enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AuthProvider,"Represents an authentication provider (auth provider). An auth provider lets users log in to your Salesforce org from an external service provider, such as Facebook, Google, or GitHub.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",Only users with Customize Application and Manage AuthProviders permissions can access this object.,,,
AuthSession,The AuthSession objectrepresents an individual user session in your organization. This object is available in   versions 29.0 and later.,"delete(), describeSObjects(), query(), retrieve()",,"The AuthSession object exposes session data and enables read and delete operations on that data. For example, use this object to create a report showing who is signed in to your organization. Or you can use this object to create a tool to delete a session, ending that user’s session. For a user, only their own sessions are available, while administrators can see all sessions.",,
BackgroundOperation,Represents a background operation in an asynchronous job queue. This object is available in API version 35.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,,,
BackgroundOperationResult,Stores error messages generated when running Async SOQL queries orimporting data into big objects using Bulk API. ,"describeSObjects(), query()",,,,
BatchApexErrorEvent,The documentation has moved to ,,,,,
Bookmark,Represents a link between opportunities that share common information.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,The Bookmark object works with the Opportunity object only.,,
BrandTemplate,Letterhead for HTML EmailTemplate.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",Customer Portal users can't access this object.,"Use this object to brand EmailTemplate records with your letterhead. You can also set a brand template to active or inactive. For example, if you have five different marketing brands, you can maintain each different brand in one template, and assign to the appropriate EmailTemplate.",,
BusinessHours,Specifies the business hours of your support organization. Escalationrules are run only during these hours.,"create(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()","All users, even those without the “View Setup and Configuration”user permission, can view business hours via the API.","Use this object to specify the business hours at which your support team operates. Escalation rules only run during the business hours with which they are associated. To set business hours to 24-hours a day, set the times from midnight to midnight (00:00:00 ~ 00:00:00) on each day.",,
BusinessProcess,Represents a business process.,"create(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",Customer Portal users can’t access this object.,,,
BusinessProcessDefinition,"Setup object that stores information about stages in a customer lifecycle map.   The stages are associated with surveys and questions created using Salesforce Surveys. This object is reserved for internal use, and is available in API version 49.0 and later.","describeSObjects(),  query(),  retrieve()",,,,
BusinessProcessFeedback,"Setup object that stores information the survey and the question associated   with each stage in a customer lifecycle map. Customer lifecycle maps are used to track the   scores provided by customers across their lifecycle using Salesforce Surveys. This object is reserved for internal use, and is available in API version 49.0 and later.","describeSObjects(),  query(),  retrieve()",,,,
BusinessProcessGroup,"Setup object that stores information about customer lifecycle maps. Customer   lifecycle maps are used to track the scores provided by customers across their lifecycle using   Salesforce Surveys. This object is reserved for internal use, and is available in API version 49.0 and later.","describeSObjects(),  query(),  retrieve()",,,,
BuyerGroupPricebook,Represents a buyer group price book used in Lightning B2B Commerce. This object is available in API version 48.0 and later.,"create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  search(),  undelete(),  update(),  upsert()",The BuyerGroupPricebook object is available only if the B2B Commerce on Lightning     Experience license is enabled. ,"Use the BuyerGroupPricebook object to assign a price book to a set of buyer users.     Assigning a price book to a buyer group allows buyers within that buyer group to retrieve     product prices from the price book. When a buyer has multiple price book assignments,     including multiple prices for the same product, the store Pricing Strategy determines the     price.",,
