ObjectName;FieldName;Type;Properties;Description
Account;DunsNumber;string;Create, Filter, Group, Nillable, Sort, Update;The Data Universal Numbering System (D-U-N-S) number is a unique, nine-digit number assigned to every business location in the Dun & Bradstreet database that has a unique, separate, and distinct operation. D-U-N-S numbers are used by industries and organizations around the world as a global standard for business identification and tracking. Maximum size is 9 characters. This field is available on business accounts, not person accounts. Note This field is only available to organizations that use Data.com Prospector or Data.com Clean.
Account;Fax;phone;Create, Filter, Group, Nillable, Sort, Update;Fax number for the account.
Account;HasOptedOutOfEmail;boolean;Create, Defaulted on create, Filter, Update;Indicates whether the contact doesn’t want to receive email from Salesforce (true) or does (false). Label is Email Opt Out.
Account;Industry;picklist;Create, Filter, Group, Nillable, Sort, Update;An industry associated with this account. Maximum size is 40 characters.
Account;IsCustomerPortal;boolean;Defaulted on create, Filter, Group, Sort, Update;Indicates whether the account has at least one contact enabled to use the organization's Customer Portal (true) or not (false). This field is available if Customer Portal is enabled OR Communities is enabled and you have Customer Portal licenses.If you change this field's value from true to false, you can disable up to 100 Customer Portal users associated with the account and permanently delete all of the account's Customer Portal roles and groups. You can't restore deleted Customer Portal roles and groups. This field can be updated in API version 16.0 and later. Tip We recommend that you update up to 50 contacts simultaneously when changing the accounts on contacts enabled for a Customer Portal or partner portal. We also recommend that you make this update after business hours.
Account;IsDeleted;boolean;Defaulted on create, Filter;Indicates whether the object has been moved to the Recycle Bin (true) or not (false). Label is Deleted.
Account;IsPartner;boolean;Defaulted on create, Filter, Group, Sort, Update;Indicates whether the account has at least one contact enabled to use the organization's partner portal (true) or not (false). This field is available if partner relationship management (partner portal) is enabled OR Communities is enabled and you have partner portal licenses.If you change this field's value from true to false, you can disable up to 15 partner portal users associated with the account and permanently delete all of the account's partner portal roles and groups. You can't restore deleted partner portal roles and groups. Disabling a partner portal user in the Salesforce user interface or the API does not change this field's value from true to false. Even if this field's value is false, you can enable a contact on an account as a partner portal user via the API. This field can be updated in API version 16.0 and later. Tip We recommend that you update up to 50 contacts simultaneously when changing the accounts on contacts enabled for a Customer Portal or partner portal. We also recommend that you make this update after business hours.
Account;IsPersonAccount;boolean;Defaulted on create, Filter, Group, Sort;Read only. Label is Is Person Account. Indicates whether this account has a record type of Person Account (true) or not (false).
Account;Jigsaw;string;Create, Filter, Group, Nillable, Sort, Update;References the ID of a company in Data.com. If an account has a value in this field, it means that the account was imported from Data.com. If the field value is null, the account was not imported from Data.com. Maximum size is 20 characters. Available in API version 22.0 and later. Label is Data.com Key. This field is available on business accounts, not person accounts. Important The Jigsaw field is exposed in the API to support troubleshooting for import errors and reimporting of corrected data. Do not modify the value in the Jigsaw field.
Account;LastActivityDate;date;Filter, Group, Nillable, Sort;Value is one of the following, whichever is the most recent: Due date of the most recent event logged against the record. Due date of the most recently closed task associated with the record.
Account;LastReferencedDate;datetime;Filter, Nillable, Sort;The timestamp when the current user last accessed this record, a record related to this record, or a list view.
Account;LastViewedDate;datetime;Filter, Nillable, Sort;The timestamp when the current user last viewed this record or list view. If this value is null, the user might have only accessed this record or list view (LastReferencedDate) but not viewed it.
Account;MasterRecordId;reference;Filter, Group, Nillable, Sort;If this object was deleted as the result of a merge, this field contains the ID of the record that was kept. If this object was deleted for any other reason, or has not been deleted, the value is null.
Account;NaicsCode;string;Create, Filter, Group, Nillable, Sort, Update;The six-digit North American Industry Classification System (NAICS) code is the standard used by business and government to classify business establishments into industries, according to their economic activity for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy. Maximum size is 8 characters. This field is available on business accounts, not person accounts. Note This field is only available to organizations that use Data.com Prospector or Data.com Clean.
Account;NaicsDesc;string;Create, Filter, Group, Nillable, Sort, Update;A brief description of an organization’s line of business, based on its NAICS code. Maximum size is 120 characters. This field is available on business accounts, not person accounts. Note This field is only available to organizations that use Data.com Prospector or Data.com Clean.
Account;Name;string;Create, Filter, Group, Sort, Update;Required. Label is Account Name. Name of the account. Maximum size is 255 characters. If the account has a record type of Person Account: This value is the concatenation of the FirstName, MiddleName, LastName, and Suffix of the associated person contact. You can't modify this value.
Account;NumberOfEmployees;int;Create, Filter, Group, Nillable, Sort, Update;Label is Employees. Number of employees working at the company represented by this account. Maximum size is eight digits.
Account;OperatingHoursId;reference;Create, Filter, Group, Nillable, Sort, Update;The operating hours associated with the account. Available only if Field Service is enabled.
Account;OwnerId;reference;Create, Defaulted on create, Filter, Group, Sort, Update;The ID of the user who currently owns this account. Default value is the user logged in to the API to perform the create.If you have set up account teams in your organization, updating this field has different consequences depending on your version of the API: For API version 12.0 and later, sharing records are kept, as they are for all objects. For API version before 12.0, sharing records are deleted. For API version 16.0 and later, users must have the “Transfer Record” permission in order to update (transfer) account ownership using this field.
Account;Ownership;picklist;Create, Filter, Group, Nillable, Sort, Update;Ownership type for the account, for example Private, Public, or Subsidiary.
Account;ParentId;reference;Create, Filter, Group, Nillable, Sort, Update;ID of the parent object, if any.
Account;PersonIndividualId;reference;Create, Filter, Group, Nillable, Sort, Update;ID of the data privacy record associated with this person’s account. This field is available if you enabled Data Protection and Privacy in Setup. Available in API version 42.0 and later.
Account;Phone;phone;Create, Filter, Group, Nillable, Sort, Update;Phone number for this account. Maximum size is 40 characters.
Account;PhotoUrl;url;Filter, Group, Nillable, Sort;Path to be combined with the URL of a Salesforce instance (for example, https://yourInstance.salesforce.com/) to generate a URL to request the social network profile image associated with the account. Generated URL returns an HTTP redirect (code 302) to the social network profile image for the account. Blank if Social Accounts and Contacts isn't enabled for the organization or if Social Accounts and Contacts is disabled for the requesting user.
Account;Rating;picklist;Create, Filter, Group, Nillable, Sort, Update;The account’s prospect rating, for example Hot, Warm, or Cold.
Account;RecordTypeId;reference;Create, Filter, Group, Nillable, Sort, Update;ID of the record type assigned to this object.
Account;Salutation;picklist;Create, Filter, Group, Nillable, Sort, Update;Honorific added to the name for use in letters, etc.
Account;ShippingAddress;address;Filter, Nillable;The compound form of the shipping address. Read-only. See Address Compound Fields for details on compound address fields.
Account;ShippingCity;string;Create, Filter, Group, Nillable, Sort, Update;Details of the shipping address for this account. City maximum size is 40 characters
Account;ShippingCountry;string;Create, Filter, Group, Nillable, Sort, Update;Details of the shipping address for this account. Country maximum size is 80 characters.
Account;ShippingCountryCode;picklist;Create, Filter, Group, Nillable, Sort, Update;The ISO country code for the account’s shipping address.
Account;ShippingGeocodeAccuracy;picklist;Create, Filter, Group, Nillable, Restricted picklist, Sort, Update;Accuracy level of the geocode for the shipping address. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;ShippingLatitude;double;Create, Filter, Nillable, Sort, Update;Used with ShippingLongitude to specify the precise geolocation of a shipping address. Acceptable values are numbers between –90 and 90 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;ShippingLongitude;double;Create, Filter, Nillable, Sort, Update;Used with ShippingLatitude to specify the precise geolocation of an address. Acceptable values are numbers between –180 and 180 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;ShippingPostalCode;string;Create, Filter, Group, Nillable, Sort, Update;Details of the shipping address for this account. Postal code maximum size is 20 characters.
Account;ShippingState;string;Create, Filter, Group, Nillable, Sort, Update;Details of the shipping address for this account. State maximum size is 80 characters.
Account;ShippingStateCode;picklist;Create, Filter, Group, Nillable, Sort, Update;The ISO state code for the account’s shipping address.
Account;ShippingStreet;textarea;Create, Filter, Group, Nillable, Sort, Update;The street address of the shipping address for this account. Maximum of 255 characters.
Account;Sic;string;Create, Filter, Group, Nillable, Sort, Update;Standard Industrial Classification code of the company’s main business categorization, for example, 57340 for Electronics. Maximum of 20 characters. This field is available on business accounts, not person accounts.
Account;SicDesc;string;Create, Filter, Group, Nillable, Sort, Update;A brief description of an organization’s line of business, based on its SIC code. Maximum length is 80 characters. This field is available on business accounts, not person accounts.
Account;Site;string;Create, Filter, Group, Nillable, Sort, Update;Name of the account’s location, for example Headquarters or London. Label is Account Site. Maximum of 80 characters.
Account;TickerSymbol;string;Create, Filter, Group, Nillable, Sort, Update;The stock market symbol for this account. Maximum of 20 characters. This field is available on business accounts, not person accounts.
Account;Tradestyle;string;Create, Filter, Group, Nillable, Sort, Update;A name, different from its legal name, that an organization may use for conducting business. Similar to “Doing business as” or “DBA”. Maximum length is 255 characters. This field is available on business accounts, not person accounts. Note This field is only available to organizations that use Data.com Prospector or Data.com Clean.
Account;Type;picklist;Create, Filter, Group, Nillable, Sort, Update;Type of account, for example, Customer, Competitor, or Partner.
Account;Website;url;Create, Filter, Group, Nillable, Sort, Update;The website of this account. Maximum of 255 characters.
Account;YearStarted;string;Create, Filter, Group, Nillable, Sort, Update;The date when an organization was legally established. Maximum length is 4 characters. This field is available on business accounts, not person accounts. Note This field is only available to organizations that use Data.com Prospector or Data.com Clean.
Account;FirstName;string;Create, Filter, Group, Nillable, Sort, Update;First name of the person for a person account. Maximum size is 40 characters.
Account;LastName;string;Create, Filter, Group, Nillable, Sort, Update;Last name of the person for a person account. Required if the record type is a person account record type. Maximum size is 80 characters.
Account;MiddleName;string;Create, Filter, Group, Nillable, Sort, Update;Middle name of the person for a person account. Maximum size is 40 characters. Contact Salesforce Customer Support to enable this field.
Account;PersonAssistantName;string;Create, Filter, Nillable, Update;The person account’s assistant name. Label is Assistant. Maximum size is 40 characters.
Account;PersonAssistantPhone;phone;Create, Filter, Nillable, Update;The person account’s assistant phone. Label is Asst. Phone. Maximum size is 40 characters.
Account;PersonBirthDate;date;Create, Filter, Nillable, Update;The assistant name. Label is Birthdate. Note The year portion of the PersonBirthDate field is ignored in filter criteria, including report filters, list view filters, and SOQL queries. For example, the following SOQL query returns person accounts with birthdays later in the year than today:SELECT FirstName, LastName, PersonBirthDateFROM AccountWHERE Birthdate > TODAY
Account;PersonContactId;reference;Filter, Nillable, Update;The ID for the contact associated with this person account. Label is Contact ID.
Account;PersonDepartment;string;Create, Filter, Nillable, Update;The department. Label is Department. Maximum size is 80 characters.
Account;PersonEmail;email;Create, Filter, Nillable, Update;Email address for this person account. Label is Email.
Account;PersonEmailBouncedDate;dateTime;Create, Filter, Nillable, Update;If bounce management is activated and an email sent to the person account bounces, the date and time the bounce occurred.
Account;PersonEmailBouncedReason;string;Create, Filter, Nillable, Update;If bounce management is activated and an email sent to the person account bounces, the reason the bounce occurred
Account;PersonHasOptedOutOfEmail;boolean;Create, Filter, Nillable, Update;Indicates whether the person account has opted out of email (true) or not (false). Label is Email Opt Out.
Account;PersonHomePhone;phone;Create, Filter, Nillable, Update;The home phone number for this person account. Label is Home Phone.
Account;PersonLeadSource;picklist;Create, Filter, Nillable, Update;The person account’s lead source. Label is Lead Source.
Account;PersonMailingAddress;address;Filter, Nillable;The compound form of the person account mailing address. Read-only. See Address Compound Fields for details on compound address fields.
Account;PersonMailingCity;string;Create, Filter, Nillable, Update;Details about the person account’s mailing city. Labels are Mailing City, Mailing Country, Postal Code, and State. Maximum size for city and country is 40 characters. Maximum size for postal code and state is 20 characters.
Account;PersonMailingGeocodeAccuracy;picklist;Retrieve, Query, Restricted picklist, Nillable;Accuracy level of the geocode for the person’s mailing address. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;PersonMailingLatitude;double;Create, Filter, Nillable, Sort, Update;Used with PersonMailingLongitude to specify the precise geolocation of a person account’s mailing address. Acceptable values are numbers between –90 and 90 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;PersonMailingLongitude;double;Create, Filter, Nillable, Sort, Update;Used with PersonMailingLatitude to specify the precise geolocation of a person account’s mailing address. Acceptable values are numbers between –180 and 180 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;PersonMailingStreet;textarea;Create, Filter, Nillable, Update;The mailing street address for this person account. Label is Mailing Street. Maximum size is 255 characters.
Account;PersonMobilePhone;phone;Create, Filter, Nillable, Update;The mobile phone number for this person account. Label is Mobile.
Account;PersonOtherCityPersonOtherCountryPersonOtherPostalCodePersonOtherState;string;Create, Filter, Nillable, Update;Details about the alternate address for this person account. Labels are Other City, Other Country, Other Zip/Postal Code, and Other State.
Account;PersonOtherCountryCodePersonOtherStateCode;picklist;Create, Filter, Group, Nillable, Sort, Update;The ISO country or state code for the alternate address of the person account.
Account;PersonOtherLatitude;double;Create, Filter, Nillable, Sort, Update;Used with PersonOtherLongitude to specify the precise geolocation of a person account’s alternate address. Acceptable values are numbers between –90 and 90 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;PersonOtherLongitude;double;Create, Filter, Nillable, Sort, Update;Used with PersonOtherLatitude to specify the precise geolocation of a person account’s alternate address. Acceptable values are numbers between –180 and 180 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;PersonOtherPhone;phone;Create, Filter, Nillable, Update;The alternate phone number for this person account. Label is Other Phone.
Account;PersonOtherStreet;textarea;Create, Filter, Nillable, Update;The person account’s alternate street address. Label is Other Street.
Account;PersonTitle;string;Create, Filter, Nillable, Update;The person account’s title. Label is Title. Maximum size is 80 characters.
Account;Suffix;string;Create, Filter, Group, Nillable, Sort, Update;Name suffix of the person for a person account. Maximum size is 40 characters. Contact Salesforce Customer Support to enable this field.
AccountBrand;AccountId;reference;Create, Filter, Group, Sort, Update;ID of the Account. This number is unique within your organization.
AccountBrand;Address;address;Filter, Nillable;The street address.
AccountBrand;City;string;Create, Filter, Group, Nillable, Sort, Update;The city.
AccountBrand;CompanyName;string;Create, Filter, Group, Nillable, Sort, Update;The name of the company associated with the account brand.
AccountBrand;Country;string;Create, Filter, Group, Nillable, Sort, Update;The country where the account is physically located.
AccountBrand;Email;reference;Create, Filter, Group, Nillable, Sort, Update;Email address associated with the account.
AccountBrand;GeocodeAccuracy;picklist;Create, Filter, Group, Nillable, Restricted picklist Sort, Update;Stores data for accurate geocoded location.
AccountBrand;LastReferencedDate;dateTime;Filter, Nillable, Sort;Most recent date referenced.
AccountBrand;LastViewedDate;dateTime;Filter, Nillable, Sort;Most recent date viewed.
AccountBrand;Latitude;double;Create, Filter, Nillable, Sort, Update;Used along with Longitude to specify the precise geolocation of an address.
AccountBrand;LogoId;reference;Create, Filter, Group, Nillable, Sort, Update;ID of the logo.
AccountBrand;LogoUrl;url;Nillable,;URL of the logo. This field is available in API version 44.0 and later.
AccountBrand;Longitude;double;Create, Filter, Nillable, Sort, Update;Used with Latitude to specify the precise geolocation of an address.
AccountBrand;Name;string;Create, Filter, Nillable, Sort, Update;Required. Name of the account.
AccountBrand;OwnerId;reference;Create, Defaulted on create Filter, Group, Sort, Update;Required. ID of the Owner.
AccountBrand;Phone;phone;Create, Filter, Group, Nillable, Sort, Update;Phone number.
AccountBrand;PostalCode;string;Create, Filter, Group, Nillable, Sort, Update;The postal code where the user’s IP address is physically located.
AccountBrand;State;string;Create, Filter, Group, Nillable, Sort, Update;The address state.
AccountBrand;Street;textarea;Create, Filter, Group, Nillable, Sort, Update;The address street.
AccountBrand;Website;url;Create, Filter, Group, Nillable, Sort, Update;Website for the Account Brand.
AccountContactRelation;AccountContactRelationshipCurrency;picklist;Create, Defaulted on create, Filter, Group, Nillable, Restricted picklist, Sort, Update;Available only for organizations with the multicurrency feature enabled. Contains the ISO code for any currency allowed by the organization.
AccountContactRelation;AccountId;reference;Create, Filter, Group, Sort;ID of the account that is related to the contact. Field can't be modified when updating existing account-contact relationship records.
AccountContactRelation;ContactId;reference;Create, Filter, Group, Sort;ID of the contact that is related to the account. Field can't be modified when updating existing account-contact relationship records.
AccountContactRelation;EndDate;date;Create, Filter, Group, Nillable, Sort, Update;The date a relationship between a contact and account ended. Use with the Start Date to keep a history of the relationship.
AccountContactRelation;IsActive;boolean;Create, Defaulted on create, Filter, Group, Sort, Update;Indicates whether relationship is active (true) or not (false).
AccountContactRelation;IsDirect;boolean;Defaulted on create, Filter, Group, Sort;Indicates whether the account associated with the contact is the contact's primary account (true) or not (false).
AccountContactRelation;Roles;multipicklist;Create, Filter, Nillable, Update;The contact’s participating role in the account. Values are Business User, Decision Maker, Economic Buyer, Economic Decision Maker, Evaluator, Executive Sponsor, Influencer, Technical Buyer, and Other.
AccountContactRelation;StartDate;date;Create, Filter, Group, Nillable, Sort, Update;The date a relationship between a contact and account began. Use with the End Date to keep a history of the relationship.
AccountCleanInfo;AccountId;reference;Filter, Group, Sort;The unique, system-generated ID assigned when the account record was created.
AccountCleanInfo;AccountSite;string;Filter, Group, Nillable, Sort;Information about the account’s location, such as single location, headquarters, or branch.
AccountCleanInfo;Address;address;Filter, Nillable;The compound form of the address. Read-only. See Address Compound Fields for details on compound address fields.
AccountCleanInfo;AnnualRevenue;currency;Filter, Nillable, Sort;Estimated annual revenue of the account.
AccountCleanInfo;City;string;Filter, Group, Nillable, Sort;Details for the billing address of the account.
AccountCleanInfo;CleanedByJob;boolean;Filter;Indicates whether the account record was cleaned by a Data.com Clean job (true) or not (false).
AccountCleanInfo;CleanedByUser;boolean;Filter;Indicates whether the account record was cleaned by a Salesforce user (true) or not (false).
AccountCleanInfo;CompanyName;string;Filter, Group, Nillable, Sort;The name of the company.
AccountCleanInfo;CompanyStatusDataDotCom;picklist;Filter, Group, Nillable, Sort;The status of the company per Data.com. Values are: Company is In Business per Data.com or Company is Out of Business per Data.com.
AccountCleanInfo;Country;string;Filter, Group, Nillable, Sort;Details for the billing address of the account.
AccountCleanInfo;DandBCompanyDunsNumber;string;Filter, Group, Nillable, Sort;The D-U-N-S Number on the D&B Company record (if any) that is linked to the account.
AccountCleanInfo;DataDotComId;string;Filter, Group, Nillable, Sort;The ID Data.com maintains for the company.
AccountCleanInfo;Description;textarea;Nillable;A description of the account.
AccountCleanInfo;DunsNumber;string;Filter, Group, Nillable, Sort;The Data Universal Numbering System (D-U-N-S) number is a unique, nine-digit number assigned to every business location in the Dun & Bradstreet database that has a unique, separate, and distinct operation. D-U-N-S numbers are used by industries and organizations around the world as a global standard for business identification and tracking.
AccountCleanInfo;DunsRightMatchConfidence;int;Filter, Group, Nillable, Sort;The account’s DUNSRight confidence code.
AccountCleanInfo;DunsRightMatchGrade;string;Filter, Group, Nillable, Sort;The account’s DUNSRight match grade.
AccountCleanInfo;Fax;phone;Filter, Group, Nillable, Sort;The account’s fax number.
AccountCleanInfo;Industry;picklist;Filter, Group, Nillable, Sort;The industry the account belongs to.
AccountCleanInfo;IsDifferentAccountSite;boolean;Filter;Indicates whether the account’s AccountSite field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentAnnualRevenue;boolean;Filter;Indicates whether the account’s AnnualRevenue field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentCity;boolean;Filter;Indicates whether the account’s City field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentCompanyName;boolean;Filter;Indicates whether the account’s AccountName field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentCountry;boolean;Filter;Indicates whether the account’s Country field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentCountryCode;boolean;Filter;Indicates whether the account’s Country Code field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentDandBCompanyDunsNumber;boolean;Filter;Indicates whether the account’s DandBCompanyID field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentDescription;boolean;Filter;Indicates whether the account’s Description field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentDunsNumber;boolean;Filter;Indicates whether the account’s DunsNumber field value is different from the D-U-N-S Number on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentFax;boolean;Filter;Indicates whether the account’s Fax field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentIndustry;boolean;Filter;Indicates whether the account’s Industry field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentNaicsCode;boolean;Filter;Indicates whether the account’s NaicsCode field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentNaicsDescription;boolean;Filter;Indicates whether the account’s NaicsDescription field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentNumberOfEmployees;boolean;Filter;Indicates whether the account’s NumberOf Employees field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentOwnership;boolean;Filter;Indicates whether the account’s Ownership field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentPhone;boolean;Filter;Indicates whether the account’s Phone field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentPostalCode;boolean;Filter;Indicates whether the account’s PostalCode field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentSic;boolean;Filter;Indicates whether the account’s Sic field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentSicDescription;boolean;Filter;Indicates whether the account’s SicDescription field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentState;boolean;Filter;Indicates whether the account’s State field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentStateCode;boolean;Filter;Indicates whether the account’s State Code field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentStreet;boolean;Filter;Indicates whether the account’s State field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentTickerSymbol;boolean;Filter;Indicates whether the account’s TickerSymbol field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentTradestyle;boolean;Filter;Indicates whether the account’s Tradestyle field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentWebsite;boolean;Filter;Indicates whether the account’s Website field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsDifferentYearStarted;boolean;Filter;Indicates whether the account’s YearStarted field value is different from the corresponding value on its matched Data.com record (true) or not (false).
AccountCleanInfo;IsFlaggedWrongAccountSite;boolean;Filter, Update;Indicates whether the account’s AccountSite field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongAddress;boolean;Filter, Update;Indicates whether the account’s Address field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongAnnualRevenue;boolean;Filter, Update;Indicates whether the account’s AnnualRevenue field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongCompanyName;boolean;Filter, Update;Indicates whether the account’s CompanyName field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongDescription;boolean;Filter, Update;Indicates whether the account’s Description field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongDunsNumber;boolean;Filter, Update;Indicates whether the account’s DunsNumber field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongFax;boolean;Filter, Update;Indicates whether the account’s Fax field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongIndustry;boolean;Filter, Update;Indicates whether the account’s Industry field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongNaicsCode;boolean;Filter, Update;Indicates whether the account’s NaicsCode field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongNaicsDescription;boolean;Filter, Update;Indicates whether the account’s NaicsDescription field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongNumberOfEmployees;boolean;Filter, Update;Indicates whether the account’s NumberOfEmployees field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongOwnership;boolean;Filter, Update;Indicates whether the account’s Ownership field value is flagged as wrong to Data.com (true) or not (false).
AccountCleanInfo;IsFlaggedWrongPhone;boolean;Filter, Update;Indicates whether the account’s Phone field value is flagged as wrong to Data.com (true) or not (false).
