Title,Agency_ID,Street,Zip_Code,City,Zone,Phone,Email,Website
Immobilcasa14 Srls  ,41207,Via Costantino Mortati 92,00156,Roma,Torraccia - San Basilio,0641219305,sistemieserviziimmobiliari@gmail.com,www.immobilcasa14.it
Frimm Affiliato Cassia  ,41234,Via Cassia 901,00189,Roma,Cassia,0633250304,frimmcassia@gmail.com,www.immobilcasa3.it
Immagini Di Casa Srls  ,41235,Via Della Giustiniana 71,00188,Roma,Labaro - Prima Porta,06/33624979,immobiliare.primaporta@gmail.com,www.immaginidicasa.com
FRIMM FONTE MERAVIGLIOSA  ,41239,Piazza Bernardo Zamagna 11,00143,Roma,Cecchignola,06 51957186,rvimmobiliare@gmail.com,www.rvimmobiliare.it
Affiliato Frimm Padma Srl Casalpalocco  ,41348,Piazzale Filippo Il Macedone 42,00124,Roma,Casal Palocco,0690200070,frimmpadma@affiliatofrimm.com,www.padmarealestateservices.it
Flavio Monti X Frimm Invest S.R.L E Frimm S.P.A.  ,41659,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,3929859865,fmonti@frimm.com,
Affiliato Frimm Gfs Case  ,41734,Via Val D'Ossola 118,00141,Roma,Montesacro,0689537675-3298522627,frimm-montesacro@libero.it,
Fquadro Immobiliare  ,41777,Via Squillace 82,00178,Roma,Capannelle - Statuario,0671289071,fquadroimmobiliare@gmail.com,www.fquadroimmobiliare.it
Immobiliare Appio Latino  ,41819,Via Tarquinio Prisco 41,00181,Roma,Furio Camillo,067804033 - 3402696429,frimm41819@frimm.com,www.frimmappiolatino.it/
Affiliato Frimm Alessandrino  ,42656,Viale Alessandrino 189,00172,Roma,Alessandrino,0623219237,frimm1485@gmail.com,www.frimmcasa.it
LORSA IMMOBILIARE  ,42736,Via Cassia 1674,00123,Roma,La Giustiniana - La Storta,0697274995,frimm4018@frimm.com,www.frimmlastorta.com
Affiliato Frimm Appio Latino  ,42855,Piazza Tarquinia 1,00183,Roma,Appio Latino,0677250085,cdecarlo@frimm.com,gruppomd.com
Patrizio Cozza  ,43091,Piazza Sabaudia 46,00171,Roma,Tor De' Schiavi,062570824,f.patrizio@virgilio.it,
FRIMM Exclusive  ,43126,Piazza Dell'Alberone 5,00181,Roma,Furio Camillo,0695226630-31,frimm.exclusive@gmail.com,
Immobiliare Casa Roma  ,43136,Via Del Fontanile Nuovo 11,00135,Roma,Trionfale,0697270560,frimm161@frimm.com,
Buy Home  ,43271,Via Isacco Newton 22,00151,Roma,Colli Portuensi,0690237501,buyhomeroma@gmail.com,
Altilivelli Group Srls  ,43311,Via Tiberio Imperatore ,00145,Roma,San Paolo,0668892455,altilivelliimmobiliare@gmail.com,www.altilivelli.com
Affiliato Frimm Via Del Corso  ,43312,Via Angelo Brunetti 17,00186,Roma,Ripetta - V. Emanuele - Palatino,0697843548,frimmviadelcorso@gmail.com,www.frimmviadelcorso.com
Immobiliare Roma Urbis  ,43518,Via Vetulonia 10A,00183,Roma,San Giovanni,064469685,immobiliareromaurbis@gmail.com,
Frimm Real Estate Investing  ,43565,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,064469685,immobiliareromaurbis@gmail.com,
FRIMM G & G Srl  ,43692,Piazza Augusto Lorenzini 8,00149,Roma,Portuense - Villa Bonelli,0689325670,frimmgg@gmail.com,www.frimm43692.com
Affiliato Frimm Porta Di Roma  ,43707,Via Corrado Mantoni 5,00139,Roma,Porta Di Roma,0687200037,mediazioneimmobiliareroma@gmail.com,re.replat.com/index.php?ac=ps_home&site=135681
Affiliato Frimm Bufalotta 2  ,43708,Via Della Bufalotta 777,00139,Roma,Bufalotta,0687133638,frimm43708@frimm.com,m.frimm.com/43708
IMMOBILSERVICE ROMA Di Antonluigi Filippo  ,43728,Via Amedeo Bocchi 352-354,00125,Roma,Acilia,06.45434800,immobilservice.roma.frimm@gmail.com,www.immobilgroupitalia.it
Frimm Winners  ,43914,Via Francesco Donati 64,00126,Roma,Dragona,0652311768,frimm43914@frimm.com,www.frimmwinnersaffiliato.it
Frimm Winners  ,43916,Via Merulana 217,00185,Roma,Esquilino - San Lorenzo,0652311768,frimm43914@frimm.com,www.frimmwinnersaffiliato.it
CASA PRO SRLS  ,43940,Via Dei Gracchi 199,00192,Roma,Prati,063219870,immobilicasapro@gmail.com,www.frimmprati.com/
FRIMM ARIU [RE] D  ,43971,Via Eschilo 72 Z,00125,Roma,Acilia,0643686745,frimm43971@frimm.com,
Tecnedil Srl  ,44069,Vicolo Del Casale Lumbroso 5,00166,Roma,Massimina - Casal Lumbroso,065005758,frimm44069@frimm.com,
Frimm Flaminio  ,44117,Via Guglielmo Calderini 6,00196,Roma,Flaminio,0699181747,maxihomesrl@gmail.com,
Frimm Conca D'Oro  ,44145,Via Val Di Cogne 10,00141,Roma,Montesacro,0688644934,serviziimmobiliari.concadoro@gmail.com,
Domus Group Immobiliare - Affiliato Frimm  ,44146,Via Boccea 617,00166,Roma,Boccea,06 61561238,domusgrouproma@gmail.com,www.domusgroupimmobiliare.it/
EUPA  ,44169,Piazzale Della Stazione Del Lido 10,00122,Roma,Ostia Centro Storico,0669483189,frimm44169@frimm.com,0re.replat.com/index.php?ac=ps_home&site=136931
Frimm Bracco  ,44216,Via Roberto Bracco 45,00137,Roma,Talenti,0672498189,bracco45a@gmail.com,www.studioimmobiliarebracco.com
Frimm Corso Trieste  ,44260,Corso Trieste 1,00198,Roma,Parioli - Pinciano - Trieste,0644243396,frimm44260@frimm.com,re.replat.com/index.php?ac=ps_home&site=137178
My Home Srl  ,44274,Viale Beethoven 30,00144,Roma,Eur,0632090384,myhome.eurcenter@gmail.com,myhomeonline.it
Consulenze Immobiliari  ,44285,Corso Vittorio Emanuele II 337,00186,Roma,Ripetta - V. Emanuele - Palatino,0669404555,info.roma@casain.casa,
Frimm Casilina  ,44313,Via Casilina 987,00169,Roma,Torre Spaccata,062307720,frimmcasilina@libero.it,
Frimm Eur Montagnola Di S.Gagliardi  ,44360,Via Augusto Vera 27,00142,Roma,Laurentina - Montagnola,0683921931,frimm44360@gmail.com,www.frimmeurmontagnola.it/
Affiliato Frimm Portonaccio  ,44369,Via Cesare Ricotti 62,00159,Roma,Tiburtina - Portonaccio - Casal Bertone,0,,
L'Arte Di Abitare  ,44381,Via Ugo De Carolis 100,00136,Roma,Balduina,+39 3469537422,lartediabitare@affiliatofrimm.com,re.replat.com/index.php?ac=ps_home&site=137476
Buy Home  ,44390,Via Dell'Impruneta 22,00146,Roma,Magliana,+39 06 90212627,buyhomeroma@gmail.com,
Affiliato Frimm PM Service  ,44420,Via Alfredo Baccarini 30,00179,Roma,Appio Latino,0645477840,pponzo@frimm.com,
FRIMM ARIU [RE] D  ,44528,Via Di Monte Brianzo 63,00186,Roma,Campitelli - Centro Storico,0643686745,frimm44528@frimm.com,
Affiliato Frimm Numidio Quadrato  ,44563,Via Licinio Murena 82,00175,Roma,Quadraro,3289325601,frimm44563@frimm.com,
Carlo Barbato X Frimm S.P.A  ,44566,Via Otricoli 21,00181,Roma,Furio Camillo,340 7789447,cbarbato@frimm.com,
FRIMM ACADEMY RE Urbe  ,300,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,0669350380,frimm300@frimm.com,www.frimm300.com
FRIMM Academy Casa  ,2070,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,06 32111472,fcf@frimm.com,
Frimm Academy Specialist  ,41252,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,06 3210207/3920546161,frimm41252@frimm.com,www.immobiliarepiazzadelpopolo.com
Frimm Academy One  ,41337,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,0689167059,frimm41337@frimm.com,
Frimm Academy Agents  ,43121,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,3922493406,frimm43121@frimm.com,
Ombretta Vignoli - Frimm Academy One  ,44352,Via Ferdinando Di Savoia 3,00196,Roma,Flaminio,3283788810,ovignolifrimm@gmail.com,
Patrimoni Real Estate S.R.L.  ,3586,Via Lamberto De Bernardi 1,20129,Milano,P.Za Tricolore-P.Za V Giornate,3398533193-3456504449-0283419266,info@patrimonire.it,www.patrimonire.it
Novezeronove Srl  ,5438,Via Vittor Pisani 13,20124,Milano,Lagosta-Garibaldi Fs-M. Gioia,+39 0236558212,info@novezeronove.it,www.novezeronove.it
Frimm Ag. Dergano - Milano  ,39082,Via Filippo Baldinucci 3/E,20158,Milano,Bovisa-Dergano-P.Le Lugano,02 66806790,frimmdergano.milano@gmail.com,www.frimmderganomilano.com
MQ Servizi  ,43584,Viale Piave 26,20129,Milano,P.Za Tricolore-P.Za V Giornate,02.36552323,mqservizipiave@gmail.com,www.mqservizi.it
PASSACASE Srl  ,43945,Via Francesco Albani 61,20148,Milano,Lotto,Milano 02 324555 - Pero 02 33912499,info@gruppopassaretti.com,www.gruppopassaretti.com
Frimm Vision  ,44118,Piazza Gerusalemme 4,20154,Milano,P.Za Firenze-Sempione-Cenisio,+39 0233107571,vision@frimm.it,
OSVALDO AUDINO SRL  ,44521,Via Valparaiso 10,20144,Milano,Solari,0,OSVALDOAUDINO@PEC-LEGAL.IT,www.osvaldoaudino.it
Piero Ficarra X Frimm Invest S.R.L  ,44532,Piazza Eleonora Duse 2,20122,Milano,P.Ta Venezia,+39 348 2210458,pficarra@frimm.com,
Polo Immobiliare Di Lino Gulino  ,44543,Via Soperga 17,,Milano,,0282397012,milano@polo-immobiliare.eu,www.polo-immobiliare.eu
FRIMM ACADEMY MILANO  ,43239,Piazza Eleonora Duse 2,20122,Milano,P.Ta Venezia,+39 02 87189508,frimm43239@frimm.com,www.frimmacademymilano.it
Immobiliare Napoli Centro Sas  ,248,Via Cesare Rosaroll 66,80139,Napoli,Vicaria-San Lorenzo,+39 08119564531,frimm248@frimm.com,www.frimmnapolicentro.com
Frimm Vomero  ,569,Via Francesco Cilea 269,80127,Napoli,Vomero,081/7141305,frimm569@frimm.com,
Frimm Affiliato Pianura  ,2912,Via San Donato ,80126,Napoli,Pianura,+39 081 2410032,frimm2912@frimm.com,www.frimmaffiliatopianura.it
Frimm Museo  ,41889,Via San Teresa Degli Scalzi 39,80135,Napoli,Museo,+39 0813412148; 3923019152,studiosantateresa@gmail.com,
Academy Napoli S.R.L Roberto Barbato  ,42911,Piazza Giovanni Bovio 14,80133,Napoli,Porto,08118491032,frimm42911@frimm.com,re.replat.com/index.php?ac=ps_home&site=134072
Punto Casa Gruppo Immobiliare Sas  ,43999,Via Eurialo 67,80124,Napoli,Bagnoli,+39 081 19364963,eugenio.noioso@gmail.com,eugenionoiosoimmobiliare.com
Frimm Mugnano  ,44270,Via Santa Maria A Cubito 657,80145,Napoli,Chiaiano,0815861981,immobiliarebivio@gmail.com,www.frimmbiviomugnano.it
Frimm Cirillo Affiliato Soccavo  ,44294,Via Giustiniano 287 C,80126,Napoli,Soccavo,08118941761,cirillo.valentina@libero.it,www.frimmcirillo.it
Frimm Different  ,44344,Via Giuseppe Fava 29,80144,Napoli,Secondigliano,081 190 05 111,frimmdifferent@gmail.com,www.frimmdifferent.it
La Fenice Srls  ,44409,Via Agostino Depretis 51,80138,Napoli,Centro Storico,08118491023,gelefante1@frimm.com,www.vendiveloce.com
Affiliato Frimm Cavalleggeri  ,44539,Via Marco Aurelio 106,80126,Napoli,Soccavo-Traiano,08118101310,frimm44539@frimm.com,
Affiliato Frimm Cavalleggeri  ,44614,Via Marco Aurelio 106,80126,Napoli,Soccavo-Traiano,08118101310,frimm44539@frimm.com,
Affiliato Frimm Monopoli Imm.Re  ,4291,Piazza Vincenzo Arbarello 2e,10122,Torino,Centro,+39 011 541676/+39 335 7427019,info@mediareonline.it,
Affiliato Frimm Obiettivo Immobiliare  ,4364,Piazza Santa Giulia 9,10124,Torino,Vanchiglia,+39 011 8124127,info@obiettivoimmobiliare.com,www.obiettivoimmobiliare.com
Sogem S.R.L.  ,4393,Via Goffredo Casalis 31,10143,Torino,Corso Francia,+39 011 7710179,servim@sogemimmobiliare.it,www.sogemimmobiliare.it
Affiliato Frimm Dreamhouse Re  ,4633,Via Alfonso Lamarmora 6,10128,Torino,Crocetta,+39 011 5817781,info@dreamhouse-re.it,www.dreamhouse-re.it
Affiliato Frimm Royal Team  ,5286,Corso Casale 319,10132,Torino,Sassi,011 4338496 366 6460463,info@royalteam-immobiliare.it,www.royalteam-immobiliare.it
Affiliato Frimm Coarezza E Delmondo Immobiliare Srl  ,5415,Corso Galileo Ferraris 127,10128,Torino,Crocetta,3333204078,info@codeimmobiliare.it,www.codeimmobiliare.it
Affiliato Frimm Metroquadrato  ,39430,Via Susa 49,10138,Torino,Centro,+390112076172,info@mq2immobiliare.it,www.mq2immobiliare.it
Affiliato Frimm Madonna Di Campagna  ,39695,Via Lanzo 29,10148,Torino,Madonna Di Campagna,+39 0112266761,frimm39695@frimm.com,
Frimm Life Immobiliare  ,40297,Corso Vercelli 240,10155,Torino,Barriera Di Milano,0119091987,frimm40297@frimm.com,www.immobiliarelife.com
360immobiliare.Com  ,40795,Via Passo Buole 14,10127,Torino,Lingotto,3337797940,agenzia.cavecchia@libero.it,www.360immobiliare.com
Affiliato Frimm Via Nizza  ,41617,Via Nizza 183/B,10127,Torino,Lingotto,(011) 9090996,alotrecchiano@frimm.com,
Immobiliare Bramante - Affiliato Frimm  ,41780,Corso Bramante 4,10134,Torino,Lingotto,0113017407,bramanteimmobiliare@gmail.com,www.immobiliarebramante.it
Affiliato Frimm Studio Pedone  ,42542,Piazza Vittorio Veneto 5,10124,Torino,Centro,+39 0118125247,locazione@studiopedone.com,http://www.studiopedone.com/
Immobiliare Colombatto E Furnari  ,42617,Corso Regina Margherita 25,10124,Torino,Vanchiglia,011.837149,colfur@inwind.it,www.colombatto-immobiliare.com
Affiliato Frimm Studio Immobiliare Rihabitat  ,42664,Via Eusebio Bava 13,10124,Torino,Vanchiglia,0118390518,realestate@rihabitat.net,www.rihabitat.net
Il Centro Immobiliare  ,42830,Corso Racconigi 37,10139,Torino,Cenisia,+39 011.433.13.88,e.ilcentroimmobiliare@gmail.com,
Affiliato Frimm Archincasa  ,42917,Via Giovanni Spano 6,10134,Torino,Crocetta,0110437643,info@archincasa.it,www.archincasa.it
Affiliato Frimm Rp Edil Servizi  ,43008,Corso Umbria 24,10144,Torino,San Donato,0110200157,info@rpedil.it,rpedil.it
Affiliato Frimm Partner Soloaffitti  ,43287,Via Duchessa Jolanda 7,10138,Torino,Cit Turin,0114331519,frimm43287@frimm.com,www.frimmcitturin.com
Frimm Network Immobiliare  ,43725,Piazza Statuto 15,10122,Torino,Centro,0115280270,centroservizitorino@frimm.com,www.frimmtorino.it/
Affiliato Frimm Gruppo EdoArdo  ,43905,Via Alcide De Gasperi 58/C,10129,Torino,Crocetta,+39 0113017943,info@gruppoedoardo.it,www.gruppoedoardo.it
Frimm Life Immobiliare  ,44068,Corso Peschiera 336,10139,Torino,Pozzo Strada,0119091987,frimm40297@frimm.com,www.immobiliarelife.com
IO Immobiliare Ottaviani Affiliato Frimm  ,44246,Via Vincenzo Gioberti 65,10128,Torino,Crocetta,3383436238,info@ioimmobiliare.it,www.ioimmobiliare.it
Affiliato Frimm Domus  ,44368,Corso Sebastopoli 212,10136,Torino,Santa Rita,0113272677,studiosantarita2@gmail.com,
Studiopalermo3dimaniscalcoepiacenti  ,883,Via Maresciallo Armando Diaz 98,90123,Palermo,Torrelunga,+39 091 6216301,imaniscalco@frimm.com,www.immobiliarepalermodiaz.com
Affiliato Frimm Palermo Immobiliare  ,1401,Via Vittorio Emanuele 145,90133,Palermo,Centro Storico (Kalsa - Cala - Cavour),091-589422 / 327-0458124,goliveri@frimm.com,www.frimmpalermo.com
Immobiliare Noce Di Tedeschi Pietro S.A.S.  ,1757,Via Noce 31-31/A,90135,Palermo,Zisa - Noce - Perpignano Bassa,+39 091 6825918,ptedeschi@frimm.com,www.venditappartamenti.it
Frimm Leonardo Da Vinci  ,40931,Via Leonardo Da Vinci 174,90145,Palermo,Serradifalco - Parisio - Noce,091401709,agenzialeonardodavinci@gmail.com,
Frimm OretoStazione  ,41108,Via Oreto 93,90127,Palermo,Policlinico - Tukory - Stazione,0,fribuffo@frimm.com,www.palermocercocasa.it
Alecor Servizi Immobiliari  ,41665,Via Francesco Porcelli 15,90128,Palermo,Università - Civico,0916529382/cell 3929474273,info@alecor.it,www.alecor.it
FRIMM  ,41815,Via Dei Cantieri 33a,90142,Palermo,Fiera - Montepellegrino,091361543,0,www.frimmaffiliatocantieri.it
Formacasa.It  ,42345,Via Dei Nebrodi 56,90144,Palermo,Restivo - Nebrodi - Croce Rossa,091528818,nebrodi@formacasa.it,www.formacasa.it
Sullivan - Divisione Immobiliare  ,43224,Via Francesco Petrarca 26,90144,Palermo,Notarbartolo,0916268000,info@sullivanimmobiliare.it,www.sullivanimmobiliare.it
Formacasa.It  ,43338,Via A. De Gasperi 56,90144,Palermo,De Gasperi - Nebrodi,091511738,degasperi@formacasa.it,www.formacasa.it
Frimm Policlinico  ,44012,Via Rocco Jemma 94,90127,Palermo,Policlinico - Tukory - Stazione,0916230657,frimm2679@libero.it,
Affiliato Frimm Tribunale  ,44047,Corso Camillo Finocchiaro Aprile 34,90138,Palermo,Olivuzza - Tribunale - Massimo,0918931661,mazzolamarco@gmail.com,
Immobiliare BRAVA  ,44195,Via Della Libertà 80,90144,Palermo,Notarbartolo,0917657760 - 0916164900,frimm41111@frimm.com,
Affiliato FRIMM LAZIO  ,44269,Via Giovanni Zappalà 27,90144,Palermo,Sciuti - Lazio,0918931161,frimm44269@frimm.com,www.frimmzappala.it
FP REAL ESTATE  ,44419,Via Marchese Di Villabianca 82,90143,Palermo,Don Bosco - Villabianca - Sampolo,0917781384,francescopio.pecora@libero.it,www.fprealestate.it
BRONZINO IMMOBILIARE  ,44554,Via Stefano Bilardello 9,90128,Palermo,Università - Civico,0916538413,bronzinogaetano82@gmail.com,frimmpalermouniversita.it
Affiliato Frimm Restivo  ,44569,Via Empedocle Restivo 102,90144,Palermo,Restivo,091511812,frimmrestivo@gmail.com,www.affiliatofrimmrestivo.it
Affiliato Frimm Progetti Immobiliari Sas  ,3985,Via Del Rondone ,40122,Bologna,Indipendenza,+39 051 5877416,ccoduri1@frimm.com,www.frimmbologna.com
